Datetime,Satellite,Mean (mg m-3),Min (mg m-3),Max (mg m-3),Pixel Coverage (%),URL
2017-03-28T09:28:00.000+00:00,S3A,10.88514,10.43087,11.30574,4,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170328T092800_sui_zug.tif
2017-03-30T10:16:00.000+00:00,S3A,10.01816,9.3317,10.76178,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170330T101637_sui_zug.tif
2017-03-31T09:50:00.000+00:00,S3A,10.12301,8.55104,11.9744,50,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170331T095026_sui_zug.tif
2017-04-08T09:42:00.000+00:00,S3A,8.55148,4.93229,10.31789,38,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170408T094257_sui_zug.tif
2017-04-09T09:16:00.000+00:00,S3A,8.448,7.91737,9.11458,3,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170409T091646_sui_zug.tif
2017-04-07T10:09:00.000+00:00,S3A,8.82388,6.98468,10.66982,15,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170407T100908_sui_zug.tif
2017-04-20T09:31:00.000+00:00,S3A,6.71471,6.23465,6.91811,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170420T093144_sui_zug.tif
2017-04-19T09:57:00.000+00:00,S3A,3.56197,2.38949,5.93378,5,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170419T095755_sui_zug.tif
2017-04-24T09:28:00.000+00:00,S3A,7.15086,7.15086,7.15086,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170424T092800_sui_zug.tif
2017-05-02T09:20:00.000+00:00,S3A,8.84987,8.45342,9.18277,3,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170502T092031_sui_zug.tif
2017-04-30T10:12:00.000+00:00,S3A,4.1054,2.24406,8.4495,53,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170430T101253_sui_zug.tif
2017-05-05T09:42:00.000+00:00,S3A,5.74779,3.10891,8.43976,29,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170505T094257_sui_zug.tif
2017-05-17T09:31:00.000+00:00,S3A,8.63346,6.35986,10.74148,32,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170517T093144_sui_zug.tif
2017-05-20T09:54:00.000+00:00,S3A,7.68217,4.9406,10.51308,23,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170520T095410_sui_zug.tif
2017-05-21T09:28:00.000+00:00,S3A,8.61387,7.46539,9.33582,4,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170521T092800_sui_zug.tif
2017-05-28T09:46:00.000+00:00,S3A,8.53243,5.81194,10.43215,47,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170528T094642_sui_zug.tif
2017-05-27T10:12:00.000+00:00,S3A,9.11951,6.31891,10.70519,55,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170527T101253_sui_zug.tif
2017-06-17T09:28:00.000+00:00,S3A,6.36607,5.38893,6.7162,2,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170617T092800_sui_zug.tif
2017-06-20T09:50:00.000+00:00,S3A,4.5991,3.37061,6.11056,13,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170620T095026_sui_zug.tif
2017-06-28T09:42:00.000+00:00,S3A,5.89974,4.17185,7.99437,57,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170628T094257_sui_zug.tif
2017-06-29T09:16:00.000+00:00,S3A,5.89889,4.45804,7.43473,37,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/zug/OC3_chla_S3A_20170629T091646_sui_zug.tif
